0,635
1,63
0,724
0,769
0,818
0,862
0,911
0,96
1,038
1,174
1,163
1,219
1,306
1,37
1,474
1,542
1,66
2,082
1,852
1,988
2,079
2,093
2,422
2,351
2,809
2,739
2,813
2,955
3,23
3,199
3,632
3,596
3,84
5,391
4,629
4,687
5,062
5,16
5,984
6,554
6,436
6,51
7,095
7,614
9,919
7,964
8,848
9,925
9,925
11,157
11,322
10,949
12,169
31,078
14,319
14,539
15,731
16,291
18,059
16,555
20,931
19,015
23,331
21,44
23,668
26,56
25,745
25,96
36,846
28,554
31,985
32,326
33,974
34,805
36,365
42,129
39,231
41,558
42,409
43,183
47,086
46,899
37,328
50,148
53,021
53,343
63,528999999999996
57,624
61,39
63,176
65,374
67,343
69,735
70,902
58,849
77,505
79,547
80,249
87,246
85,273
90,035
99,055
96,068
69,799
105,805
107,436
115,82
117,473
117,983
116,288
84,402
126,853
128,871
126,616
134,107
137,826
98,017
153,161
147,369
150,591
154,095
117,917
162,951
165,808
171,868
172,699
123,749
183,862
200,23
189,322
150,069
218,999
238,827
235,416
245,919
254,571
248,404
342,598
365,156
245,475
414,711
283,759
434,58
256,564
306,899
303,144
203,537
333,122
290,507
334,025
359,148
216,39
357,141
375,809
373,196
309,255
385,525
339,317
404,837
338,262
418,898
344,139
438,804
368,695
451,481
329,801
466,987
329,047
485,091
314,256
520,499
506,445
366,059
545,556
368,457
508,341
583,833
402,856
658,962
708,921
420,626
553,282
368,703
495,743
585,828
396,209
506,396
589,679
634,136
405,017
535,752
605,29
657,146
432,844
553,984
623,369
661,896
686,807
710,899
736,148
715,483
